"ProtID","BIC1","BIC2","BIC3","BIC4","NumPeakLowBIC","NumPeakDelLowIntensity","Start1","Start2","Start3","Start3","Frac1","Frac2","Frac3","Frac4","Height1","Height2","Height3","Height4","Width1","Width2","Width3","Width4","Area1","Area2","Area3","Area4"
"AT4G30920.1", 776.5,773.7,778.4,778.7, 2,1, 14,25,,, 13.8,,,, 3.8953e+05,,,, 1.2857,,,, 8.8767e+05,,,
"AT5G17710.1;AT5G17710.2", 790.7,784.8,794.8,805.4, 2,1, 14,33,,, 14,,,, 4.5032e+05,,,, 1.6079,,,, 1.2834e+06,,,
"AT3G29320.1", 813.1,818.2,828.7,839.1, 1,1, 14,,,, 13.9,,,, 6.3675e+05,,,, 1.3484,,,, 1.5218e+06,,,
"AT5G11670.1;AT5G25880.1", 881.4,870.2,880.6,891.1, 2,1, 14,36,,, 14.3,,,, 1.3067e+06,,,, 1.4404,,,, 3.3361e+06,,,
"AT5G53460.3;AT5G53460.2;AT5G53460.1", 986.6,980,988.1,999, 2,1, 9,14,,, 14.5,,,, 1.2128e+06,,,, 0.9434,,,, 2.028e+06,,,
"AT2G24200.2;AT2G24200.1;AT2G24200.3", 841.2,826.4,831.5,840.7, 2,1, 14,23,,, 13.8,,,, 1.3694e+06,,,, 1.3718,,,, 3.3295e+06,,,
"AT5G54770.1", 894.1,901.3,911.2,922, 1,1, 14,,,, 14,,,, 1.5667e+06,,,, 1.4,,,, 3.8875e+06,,,
"AT5G06290.1", 1020,904.5,911.3,922, 2,2, 14,27,,, 13.5,27.1,,, 8.2177e+05,5.5999e+05,,, 1.5566,1.8501,,, 2.2672e+06,1.8363e+06,,
"AT2G42600.2;AT2G42600.1;AT3G42628.1", 924.5,933.4,943.6,954.5, 1,1, 14,,,, 14.4,,,, 2.3459e+06,,,, 1.5576,,,, 6.4766e+06,,,
"AT5G14740.2;AT5G14740.1;AT5G14740.5;AT5G14740.4;AT5G14740.3", 998.7,974,984.5,995.2, 2,1, 14,25,,, 13.8,,,, 2.5968e+06,,,, 1.754,,,, 8.0731e+06,,,
"AT5G42390.1", 612.3,,,, 1,1, 16,,,, 16.5,,,, 6571.2,,,, 1.0231,,,, 11916,,,
"AT1G66670.1", 669.5,,,, 1,1, 16,,,, 15.6,,,, 32198,,,, 0.95412,,,, 54451,,,
"AT1G29880.1;AT3G44740.1", 843.1,853.2,863.2,873.9, 1,1, 16,,,, 15.7,,,, 3.5335e+05,,,, 1.1411,,,, 7.1468e+05,,,
"AT5G60640.1;AT5G60640.3;AT5G60640.2", 614.1,613.8,,, 2,1, 17,25,,, 16.9,,,, 23704,,,, 0.71,,,, 29830,,,
"AT5G48230.2;AT5G48230.1", 678.7,688.4,,, 1,1, 17,,,, 16.2,,,, 15655,,,, 1.5693,,,, 43544,,,
"AT1G12410.1", 722.9,718.1,720,, 2,2, 17,28,,, 16.3,27.4,,, 11108,7157.5,,, 1.6926,1.6061,,, 33323,20376,,
"AT4G36760.1", 754,715.4,,, 2,2, 17,21,,, 16.6,21.8,,, 39972,14963,,, 0.71,1.7145,,, 50302,45471,,
"AT5G48375.1", 892.5,896.8,838.9,909.9, 3,3, 6,17,24,, 6.45,16.2,20.2,, 74694,1.7016e+05,1.58e+05,, 0.71247,1.7567,0.89518,, 94326,5.2984e+05,2.5069e+05,
"AT4G08870.2;AT4G08870.1;AT4G08900.1", 666.5,,,, 1,1, 20,,,, 18.8,,,, 6287.6,,,, 2.4062,,,, 26815,,,
"AT3G02720.1", 687.4,,,, 1,1, 20,,,, 20.4,,,, 50174,,,, 0.99034,,,, 88072,,,
"AT4G20260.5;AT4G20260.3;AT4G20260.2;AT4G20260.1;AT4G20260.4;AT4G20260.6", 709.9,720.8,731.1,742, 1,1, 20,,,, 20.9,,,, 19780,,,, 2.6701,,,, 93610,,,
"AT5G63860.1", 729.4,697.7,,, 2,1, 13,20,,, 20.5,,,, 80325,,,, 1.0052,,,, 1.4311e+05,,,
"AT5G27380.1", 831,722.7,733.6,, 2,2, 20,26,,, 20.4,26.2,,, 1.3351e+05,72262,,, 0.71,0.71,,, 1.6802e+05,90937,,
"AT2G05990.2;AT2G05990.1", 776.2,765,867,881.2, 2,1, 15,20,,, 20.4,,,, 1.7924e+05,,,, 1.0067,,,, 3.1981e+05,,,
"AT3G25530.1;AT3G25530.2", 829.9,817.8,829.9,835.2, 2,1, 4,20,,, 20.5,,,, 3.0765e+05,,,, 0.92249,,,, 5.0303e+05,,,
"AT3G48170.1", 622.2,,,, 1,1, 22,,,, 22.4,,,, 15409,,,, 1.0185,,,, 27817,,,
"AT2G29340.2;AT2G29340.1;AT2G29340.3", 654.7,645.4,,, 2,1, 22,29,,, 22.4,,,, 30620,,,, 0.77156,,,, 41874,,,
"AT5G56260.1", 681.2,691.6,,, 1,1, 22,,,, 21.8,,,, 37819,,,, 1.23,,,, 82453,,,
"AT1G79690.1", 724.9,710.5,718,727.6, 2,2, 22,37,,, 22.3,37.1,,, 42964,12355,,, 1.1305,0.71,,, 86085,15505,,
"AT4G24220.2;AT4G24220.1", 710.8,684.5,689.3,, 2,1, 22,27,,, 21.7,,,, 59900,,,, 1.2913,,,, 1.3709e+05,,,
"AT3G02770.1", 676.3,676.6,,, 1,1, 22,,,, 22.3,,,, 72592,,,, 1.1584,,,, 1.4905e+05,,,
"AT3G20330.1", 741.1,715.9,726.1,736.7, 2,2, 22,28,,, 21.5,26.2,,, 38728,8804.5,,, 1.7357,4.3202,,, 1.1914e+05,67418,,
"AT4G20960.1", 767.6,778.2,789,, 1,1, 22,,,, 22.4,,,, 69512,,,, 1.6358,,,, 2.0154e+05,,,
"AT5G54810.1;AT4G27070.1", 742,730,731.3,711, 4,2, 4,11,22,33, 4.01,21.7,,, 14510,60072,,, 0.71,1.4916,,, 18260,1.5882e+05,,
"AT5G63890.1;AT5G63890.2", 755.1,765.1,775.6,786.5, 1,1, 22,,,, 22.6,,,, 84912,,,, 1.5478,,,, 2.3295e+05,,,
"AT2G22990.6;AT2G22990.2;AT2G22990.4;AT2G22990.1;AT2G22990.3;AT2G22990.5", 760.3,766.9,,, 1,1, 22,,,, 21.6,,,, 1.4148e+05,,,, 1.1074,,,, 2.7771e+05,,,
"AT4G35630.1", 786.7,795.6,806.5,, 1,1, 22,,,, 23,,,, 73409,,,, 2.1577,,,, 2.8075e+05,,,
"AT5G03650.1", 797.3,829.2,830,852.6, 1,1, 22,,,, 22.4,,,, 95921,,,, 1.5539,,,, 2.6419e+05,,,
"AT2G44350.1;AT2G44350.2;AT3G60100.1", 749.6,745.3,756.1,, 2,1, 7,22,,, 21.9,,,, 1.3635e+05,,,, 1.549,,,, 3.7437e+05,,,
"AT3G22200.1;AT3G22200.2", 772.3,779.7,,, 1,1, 22,,,, 21.7,,,, 1.5255e+05,,,, 1.4992,,,, 4.0537e+05,,,
"AT2G27860.1", 796,801.6,812.2,823.1, 1,1, 22,,,, 22.1,,,, 1.8382e+05,,,, 1.6092,,,, 5.2431e+05,,,
"AT1G70310.1", 831.7,839,,, 1,1, 22,,,, 21.2,,,, 1.652e+05,,,, 1.8677,,,, 5.4688e+05,,,
"AT1G78300.1", 807.7,816.4,888.8,835.9, 1,1, 22,,,, 21.4,,,, 1.9939e+05,,,, 1.7437,,,, 6.1624e+05,,,
"AT5G38480.1;AT5G38480.2", 890.1,812.6,822.8,921.9, 2,2, 14,22,,, 14,21.6,,, 1.459e+05,3.0211e+05,,, 0.71,1.6267,,, 1.836e+05,8.7107e+05,,
"AT1G63770.4;AT1G63770.3;AT1G63770.5;AT1G63770.2;AT1G63770.1", 910,968.2,931.1,935.9, 1,1, 22,,,, 21.9,,,, 8.4305e+05,,,, 1.7527,,,, 2.619e+06,,,
"AT1G62750.1", 921.1,923.5,934.1,944.8, 1,1, 22,,,, 21.7,,,, 1.1208e+06,,,, 1.9276,,,, 3.8294e+06,,,
"AT1G65930.1;AT1G54340.1", 891.9,884.7,895.3,906.1, 2,1, 22,33,,, 22.6,,,, 1.2187e+06,,,, 2.0109,,,, 4.3435e+06,,,
"AT1G58280.4;AT1G58280.3;AT1G58280.1;AT1G58280.2", 636,,,, 1,1, 23,,,, 23.4,,,, 17732,,,, 1.0134,,,, 31849,,,
"AT1G22430.2;AT1G22430.1", 673.8,,,, 1,1, 23,,,, 22.9,,,, 32745,,,, 0.71,,,, 41208,,,
"AT3G25230.1;AT3G25230.2;AT5G48570.1", 677.1,676.3,682.6,, 2,2, 13,23,,, 13.3,22.2,,, 5275.1,14827,,, 0.71,1.6909,,, 6638.5,44437,,
"AT1G32160.1", 648.7,676.9,,, 1,1, 26,,,, 25.5,,,, 8947.3,,,, 1.2249,,,, 19426,,,
"AT3G10850.1", 636.6,696,,, 1,1, 33,,,, 33.1,,,, 17233,,,, 0.71,,,, 21687,,,
"AT4G12420.2;AT4G12420.1", 657.7,,,, 1,1, 23,,,, 23.2,,,, 21163,,,, 1.3892,,,, 52111,,,
"AT5G10540.1", 736.1,735.3,,, 2,2, 11,23,,, 11,23.5,,, 8141,36054,,, 0.71,0.87078,,, 10245,55646,,
"AT3G49680.2;AT3G49680.1", 755.4,752.8,763.3,, 2,1, 8,23,,, 23.5,,,, 68751,,,, 0.92177,,,, 1.1232e+05,,,
