Protein IDs,Bio1_proteinGroups_F28,Bio1_proteinGroups_F29,Bio1_proteinGroups_F30,Bio1_proteinGroups_F31,Bio1_proteinGroups_F32,Bio1_proteinGroups_F33,Bio1_proteinGroups_F34,Bio1_proteinGroups_F35,Bio1_proteinGroups_F36,Bio1_proteinGroups_F37,Bio1_proteinGroups_F38,Bio1_proteinGroups_F39,Bio1_proteinGroups_F40,Bio1_proteinGroups_F41,Bio1_proteinGroups_F42,Bio1_proteinGroups_F43,Bio1_proteinGroups_F44,Bio1_proteinGroups_F45,Bio1_proteinGroups_F46,Bio1_proteinGroups_F47,Bio1_proteinGroups_F48,Bio1_proteinGroups_F49,Bio1_proteinGroups_F50,Bio1_proteinGroups_F51,Bio1_proteinGroups_F52,Bio1_proteinGroups_F53,Bio1_proteinGroups_F54,Bio1_proteinGroups_F55,Bio1_proteinGroups_F56,Bio1_proteinGroups_F57,Bio1_proteinGroups_F58,Bio1_proteinGroups_F59,Bio1_proteinGroups_F60,Bio1_proteinGroups_F61,Bio1_proteinGroups_F62,Bio1_proteinGroups_F63,Bio1_proteinGroups_F64,Bio1_proteinGroups_F65
AT1G62750.1,0,38.764,778.31,35938,671.94,11604,16445,0,0,0,2802.4,227.02,16598,3215.3,2812.8,11469,1074.4,2658.4,1361.6,502640,1109800,1120900,711840,318650,146600,39652,32852,21147,4936.4,0,2026.3,12443,12293,48.128,0,3216.5,0,2979.9
AT1G65930.1;AT1G54340.1,63.828,110.56,0,6505.8,351,11691,2826.2,5918.8,2398.8,0,0,0,2025.5,0,4675.7,1399.7,109.3,2181.5,1225.5,156180,669260,1143600,1140500,744790,320820,136820,37856,8467.4,2507.8,7331.2,3206.2,605.24,13657,0,2832.1,217.1,41.127,48.92
AT1G58280.4;AT1G58280.3;AT1G58280.1;AT1G58280.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17732,11157,5478.7,0,0,0,0,0,0,0,0,0,0,0,0,0
AT3G16190.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34606,0,0,0,0,0,0,0,0,0,0,2696,0,0,0,0
AT1G22430.2;AT1G22430.1,0,0,0,0,0,0,0,0,0,0,0,0,0,76.706,0,0,0,0,0,0,0,3491.3,33274,0,0,0,8125,0,0,0,0,0,0,0,0,28.946,0,0
AT3G25230.1;AT3G25230.2;AT5G48570.1,0,0,0,0,0,0,0,0,0,0,0,0,4560.4,1835.6,0,1473.2,0,0,0,0,12578,10425,15713,3013.4,0,0,0,0,0,0,87.294,0,0,0,420.18,0,0,2802
AT1G32160.1,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2521.1,0,1966.5,8554.5,8947.3,0,5632.5,0,0,0,0,0,0,0,0,0,0
AT5G54430.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3567,0,7236.8,0,2878.7,0,0,0,0,0,0,0,0
AT3G10850.1,0,0,0,0,0,18.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.439,17233,3179.5,2378.3,0,4840.7,0
AT4G12420.2;AT4G12420.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11764,21163,17911,0,4876.3,0,0,0,0,0,0,2324.5,0,0,0,0,0
