Protein IDs,Bio2_proteinGroups_F28,Bio2_proteinGroups_F29,Bio2_proteinGroups_F30,Bio2_proteinGroups_F31,Bio2_proteinGroups_F32,Bio2_proteinGroups_F33,Bio2_proteinGroups_F34,Bio2_proteinGroups_F35,Bio2_proteinGroups_F36,Bio2_proteinGroups_F37,Bio2_proteinGroups_F38,Bio2_proteinGroups_F39,Bio2_proteinGroups_F40,Bio2_proteinGroups_F41,Bio2_proteinGroups_F42,Bio2_proteinGroups_F43,Bio2_proteinGroups_F44,Bio2_proteinGroups_F45,Bio2_proteinGroups_F46,Bio2_proteinGroups_F47,Bio2_proteinGroups_F48,Bio2_proteinGroups_F49,Bio2_proteinGroups_F50,Bio2_proteinGroups_F51,Bio2_proteinGroups_F52,Bio2_proteinGroups_F53,Bio2_proteinGroups_F54,Bio2_proteinGroups_F55,Bio2_proteinGroups_F56,Bio2_proteinGroups_F57,Bio2_proteinGroups_F58,Bio2_proteinGroups_F59,Bio2_proteinGroups_F60,Bio2_proteinGroups_F61,Bio2_proteinGroups_F62,Bio2_proteinGroups_F63,Bio2_proteinGroups_F64,Bio2_proteinGroups_F65
AT2G17340.1;AT2G17320.1,282.96,0,0,0,0,138.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4346.6,2326.9,0,12833,17996,16234,50840,40216,48722,3357.5,0,0,0,0,0,0,0
AT2G17390.1,0,0,0,0,0,163.61,0,0,0,0,0,0,0,0,0,0,0,0,0,1908.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G17420.1;AT4G35460.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5318.7,0,0,6754.3,4650.3,32872,46694,21045,0,0,0,0,0,0,0,0,0,2089.2,0,0
AT2G18020.1,0,0,415100,9959.2,593.26,0,0,0,0,0,0,0,0,0,849.58,0,5228.4,1145,4054.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312.2,0,0
AT2G18040.1,510.9,0,0,0,0,0,25.294,196.83,2125.4,2125.4,0,180.32,109.81,7341.3,0,0,0,0,0,1013.3,0,0,2995.9,2234.3,0,0,0,0,0,0,0,1175.1,0,2573,22571,3318.2,117660,4858.7
AT2G18110.1,0,0,0,0,0,0,37626,0,0,0,0,0,363.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G18230.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2628.9,0,0,0,930.7,7602.4,0,0,0,8757.3,0,0,4085.5,0,0,0,3305,23266,41975,19226,31821,3645.5,0,3520.8,0
AT2G18250.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.58,0,47.895,0,0,0,0,0,0,0,0,0,10642,0,6981.6,0,0,0,0,0
AT2G18328.1,0,0,0,249.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5805.1
AT2G19480.3;AT2G19480.2;AT2G19480.1,0,0,0,428.41,0,0,3167.6,0,0,0,0,0,274.98,51590,0,4942.6,10475,0,11596,2467.6,0,0,0,0,0,0,0,0,0,0,2904.3,0,0,0,0,0,0,0
AT2G19520.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5607,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G19730.3;AT2G19730.2;AT2G19730.1;AT4G29410.2;AT4G29410.1,0,0,86155,340.17,0,0,416.2,0,228.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G19760.1,0,564.94,149.08,0,0,0,0,1587,0,0,0,0,0,3146.1,0,0,0,129.48,3910.8,0,0,0,100.61,0,1867.4,0,1433.5,0,0,68.638,1868.1,0,9558.7,55035,162070,104490,67917,0
AT2G19770.1;AT5G56600.2;AT5G56600.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,918.1,0,0,0,0,48415,0
AT2G19940.2;AT2G19940.1,0,0,2647.1,0,0,0,5706.4,1891.1,4227.2,2366.3,0,4698.3,377,0,196,12473,146590,112990,200230,42980,403.52,9331,0,0,0,0,6838.9,0,3359,0,2676.3,2383.1,0,1460.3,4963.1,0,0,35218
AT2G20260.1,0,0,4340.5,0,0,0,0,0,0,0,34.244,0,0,0,0,0,0,0,0,0,0,0,802.11,27.395,1747.2,0,2318.4,0,0,1617.2,467.54,0,1452.3,6419.5,32622,54441,131930,23225
AT2G20270.1;AT2G20270.2,0,0,192510,0,0,0,246.71,5601.2,19.382,14.536,0,29.073,0,0,54.133,0,0,746.27,0,0,0,0,0,0,0,2700.1,0,0,0,0,0,0,1933.3,0,42877,96657,286530,130530
AT2G20420.1,278.08,331.45,557.78,0,0,0,0,1865.5,0,0,2885.3,229.41,0,0,0,69.208,1696.6,0,0,0,0,83167,50687,141380,26570,28637,0,0,0,4154.4,0,0,2009.8,0,0,2230.4,0,0
AT2G20580.1,1462.7,643.62,165760,0,1045.4,569.66,32324,0,8757,0,1054.5,0,1164,0,0,0,0,27.043,3323.4,1102.7,0,1583.8,0,0,0,0,4912.6,0,0,1110.8,1138.7,0,0,0,0,0,0,0
AT2G20610.1;AT2G20610.2,0,0,0,0,0,0,0,11331,0,0,0,0,0,0,0,0,32940,8068.8,32890,12823,0,0,1929.5,4457.3,0,0,0,0,0,0,0,0,4961.7,0,0,0,0,0
AT2G20630.1;AT2G20630.2;AT4G28400.1,0,0,0,113.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2850.7,20534,0,0,0,0,0,0,0,0
AT2G20890.1,513.81,0,0,417.74,0,0,327.09,0,0,0,998,0,243.47,0,0,0,0,0,34.371,43.609,0,0,0,0,0,0,0,0,5004.1,21396,41998,93624,37850,27250,20787,0,10646,0
AT2G21060.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.897,0,0,9639.5,62.897,6920.4,0,0,4430.7,0
AT2G21130.1,332.91,475.26,12418,0,28.025,106.81,266.23,1748.1,58.748,0,54.491,0,45.255,0,0,56.071,0,1682.5,3129.3,423.21,317.13,4599.9,1732.3,5239.8,2070.4,2296.7,8450.4,0,0,4920.7,0,0,3081.8,0,54957,175290,674030,383320
AT2G21170.1;AT2G21170.2,0,142.37,5053,0,0,308.46,128.32,7237.7,0,142.46,430.01,0,0,4986.5,41.518,0,4006.2,0,3467.8,0,645.98,23282,22568,319060,745740,1144200,540370,769050,180710,88673,42843,20613,11436,8539.9,5299.6,5094.2,2334.5,0
AT2G21250.1;AT2G21250.2;AT2G21260.1,0,0,0,88.401,0,0,0,0,0,0,0,0,135.2,0,104.93,0,785.18,0,0,26.84,0,0,1131.7,10056,44571,41408,346.68,4816,549.1,643.04,0,0,0,0,0,2374.4,0,0
AT2G21330.1;AT2G21330.3;AT2G21330.2,2815.4,11655,322270,8034.9,2872.4,5871.1,253410,58652,23875,9756,21427,102860,7635.8,601490,48516,895570,1220100,796120,373830,89087,2171,4046.1,7624.6,12400,2244.2,5629.4,6440.3,10372,9231,9392.9,13294,8071.4,4687.5,6378.5,3640.7,8161,7764.5,2920.6
AT2G21370.1;AT2G21370.2,0,0,0,0,0,0,29.078,0,0,18.089,29.377,0,0,0,0,526.42,0,0,0,0,129.21,0,0,0,0,21131,6011.7,28804,24657,4433.7,2132.4,0,0,0,0,0,0,0
AT2G21385.2;AT2G21385.1;AT2G21385.3;AT2G21385.4,0,0,0,0,0,0,0,0,0,0,0,148.46,0,1248,0,0,0,0,0,0,0,0,0,0,0,0,8187.5,49094,11963,12075,1585.2,0,0,0,0,0,0,0
AT2G21390.1,0,0,40418,0,0,0,61132,11731,1675.6,0,0,0,617.57,2439.9,0,0,0,0,0,0,204.78,0,0,3490.8,0,3354.1,0,0,0,0,0,0,0,0,0,0,0,0
AT2G21530.1,669.06,722.98,6297.5,31.2,0,0,41.6,0,0,3394.7,23.842,0,0,0,359.12,0,0,0,982.81,1820,24.504,0,0,0,0,0,0,3599.7,0,12882,56346,115090,140400,166620,122380,72727,33793,309.4
AT2G21620.1;AT2G21620.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6894.2,11437,9724.2,0,0,0,0,0,0,0,0,0,0,0,0,2704.6
AT2G21660.1;AT2G21660.2,2318.9,48.055,28835,773.37,0,664.98,2656.6,3555,9268,1836.6,4418.4,3404.2,800.2,14583,368.2,1044.3,7726.6,3457.4,1240.3,3154,222.36,3766,8929.8,2609.9,17436,21684,6301.7,5270.8,4090.2,8241.7,37614,123740,490770,641970,653600,470120,493240,231340
AT2G22170.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2470.7,0,0,0,15709,4526.4,0,0,694.13,0,0,0
AT2G22230.1;AT5G10160.1,0,0,188500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995.7
AT2G22250.1;AT2G22250.3;AT2G22250.2,0,0,6351,0,0,0,0,0,0,0,0,0,0,2865.3,0,0,0,0,0,0,0,0,2199.3,9773.6,1584.6,5722,0,0,0,0,0,0,0,0,0,0,0,23.355
AT2G22420.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452.12,0,5820.2,0,0,0,0,0,0,0,0,13280,6915.1,4537.8,0,0,1137.4,0,3852.9,0,0,0
AT2G22480.1,0,660.21,130360,0,0,0,0,0,7322.4,0,5686,0,0,0,0,0,0,0,0,0,0,4667.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1533.8
AT2G22780.1,0,0,180960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280.7,0,0,0,0,0,298.43,0,0,0,0,0,0,0,0,0,1638.2,0,0,0,0
AT2G22990.6;AT2G22990.2;AT2G22990.4;AT2G22990.1;AT2G22990.3;AT2G22990.5,0,0,0,0,0,0,0,204.26,0,0,0,0,0,0,93.219,0,2769,1645.9,19337,26458,0,42073,9910.7,0,0,3575.1,0,0,0,0,0,0,1932.3,0,0,0,0,0
AT2G23350.1;AT1G22760.1;AT1G71770.2;AT1G71770.1,0,456.63,201.36,0,0,0,65.484,0,0,80.314,0,0,0,0,53.421,0,1562.8,0,4444.8,0,0,8478.5,5512.5,3140.5,5278.1,0,47.942,0,0,2099.9,0,4620.8,13503,4111.8,3100.7,37.051,1724.2,0
AT2G23420.1;AT4G36940.1,0,0,0,0,0,0,0,0,3444.5,0,3945,4061.8,0,5947.6,0,0,0,0,4064.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G23600.1,0,0,32.12,0,120.34,0,0,0,2420.8,0,1906.5,0,0,0,0,0,1222.3,0,0,0,0,3255.6,11649,62955,145870,27247,41764,33959,36141,39934,30469,14213,579.77,0,0,0,0,606.34
AT2G23610.1;AT2G23550.2;AT2G23580.1;AT2G23550.1,0,0,34.273,0,0,0,0,0,0,0,29.453,0,29.377,0,0,19.585,0,0,0,0,0,0,0,3283,1659.6,1539.8,0,0,0,0,0,0,0,0,0,0,0,0
AT2G24020.2;AT2G24020.1;AT4G30620.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10485,11113,0,0,8027.4,5903.9,0,1306,0,0,0,0,0
AT2G24060.1;AT4G30690.2;AT4G30690.1,0,0,8365.7,0,0,0,0,0,0,0,0,0,0,0,0,388.39,0,0,0,0,0,0,0,2335.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G24190.1;AT2G24190.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4541.8,4941.1,0,0,0,0,0,0,0
AT2G24200.2;AT2G24200.1;AT2G24200.3,0,604.84,18511,0,0,106.1,779.24,13088,0,2088.6,9591.5,101840,2767.1,523870,1185.2,4384.3,4982.6,2765.5,1483.1,2355.7,304.82,8830,6059.8,6196.1,6182.2,7227.6,2106.7,1826.7,0,6412.7,0,16.68,0,0,0,1591.3,2347.8,2832.8
AT2G24270.3;AT2G24270.2;AT2G24270.1;AT2G24270.4,427.21,84462,35977,714.63,511.58,89.885,319.55,4791.4,3172.1,1464.5,3544,2663,129.81,10545,2714.2,113230,629740,163160,211340,36956,468,2647.9,14367,5729,3940.5,1673.8,0,0,4160.6,2908.9,0,0,0,0,1414.3,0,0,5321.1
AT2G24580.1,0,0,0,49.007,0,0,0,237.9,1689.5,20.8,0,0,0,0,93.601,0,0,26,0,0,0,0,1994.4,0,6488.8,6600,0,3999,0,0,0,0,0,0,4760.9,0,0,0
AT2G24590.1,32.365,0,41.612,95.705,0,409.43,26.302,27.741,23.118,0,0,1725.7,0,0,47.832,0,0,0,0,23.118,0,0,0,0,0,0,0,0,0,0,10922,3731.6,0,0,0,0,4342.9,0
AT2G24940.1,0,0,4490.5,0,0,1711.5,0,0,0,0,0,0,132.97,0,0,0,915.74,856.71,8083.5,0,0,0,36370,0,0,0,0,0,0,0,0,0,0,1808.4,28212,23884,169790,35376
AT2G25060.1,0,0,0,0,0,0,0,0,0,0,0,4160.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G25080.1;AT4G31870.1,193.93,51.392,42049,589.66,0,0,87.17,335.46,4938.1,0,0,3065.6,203.55,0,31.563,0,0,1585.8,0,2422.7,1410.6,4113.8,4747,1348.3,0,6384.2,63.68,0,0,40.524,40.524,10050,1704.4,16837,74202,95648,232310,203240
AT2G25280.1,160.19,0,85.104,79.785,0,0,0,222.07,31.914,21.276,0,0,0,0,0,0,0,0,0,18.995,0,0,0,0,934.82,2563.5,0,0,0,0,0,1849.6,14086,1691.7,1053.7,0,0,0
AT2G25450.1,0,0,21213,0,0,0,0,0,5995.6,0,0,1839,0,0,463.22,0,0,0,3856.5,0,0,0,1639,2560.2,0,0,3968.5,35229,16953,12840,0,0,0,0,0,0,0,0
AT2G25830.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5763.1,11068,0,0,0,0,0,0
AT2G25840.3;AT2G25840.1;AT2G25840.2,117.5,0,14374,0,0,0,0,0,0,0,0,0,0,0,0,1438.8,0,3589.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G26080.1,551.71,659.5,4863.3,689.09,0,82.562,36.988,2876,23.118,0,0,6994.3,0,57169,2783.5,105260,107410,60679,41223,7061.1,183.7,0,229.14,19369,7636.4,0,2896.2,0,0,3287.6,5658.7,0,1960.4,0,6873.9,0,0,1873.9
AT2G26230.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2720.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G26670.1;AT2G26670.2;AT1G58300.1;AT1G69720.1,0,0,0,0,0,0,0,0,0,0,0,0,191.4,0,0,29.073,0,0,0,0,241.83,0,8693.3,0,0,0,0,9419.6,23850,49429,57394,21146,16947,0,1205.3,0,0,0
AT2G26740.1;AT2G26750.1;AT4G15955.1;AT4G15955.2;AT4G15955.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21005,4345,21307,6440,0,0,0,0,1136.9,0,0,0,0,0,0,0
AT2G26930.1,0,0,4463.6,0,0,0,0,0,0,0,0,0,370.51,0,0,0,0,1739.4,0,0,23.854,0,0,9189,0,2656.4,0,0,0,0,0,0,0,0,0,0,0,0
AT2G27020.1,0,0,8040,0,0,995.84,173090,5104.6,2384.3,0,0,0,0,0,200.74,0,1508.4,0,1578.9,2091.7,0,0,0,0,1026.4,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G27530.2;AT2G27530.1,226.61,0,179650,0,0,0,0,0,0,0,136.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G27680.1,0,371.06,54712,0,95.502,0,2904.5,0,0,0,0,0,0,0,0,0,7462.8,1359.9,1872.6,0,0,3417.6,0,5450.9,1535.2,0,0,1618.3,7630.3,61687,118340,39176,24065,8916.4,3373.3,6336.5,0,0
AT2G27710.3;AT2G27710.2;AT2G27710.1;AT2G27710.4,0,0,252960,4660.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045.5,0,0,0,0,0,0,0,0,3733.5,4845.6,0,0,0,0,0,0,5232.6,0
AT2G27720.1;AT2G27720.3;AT2G27720.2,0,0,195160,0,0,0,0,0,0,0,0,0,0,0,0,16.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G27860.1,0,272.6,0,38.384,47.895,0,0,0,2968.5,0,0,2389.3,0,0,0,0,0,0,2490.7,32977,3255.4,89721,29835,16662,6787.4,5841.4,2209.8,0,1095.7,0,2372.7,1979.1,0,0,0,0,0,752.64
AT2G27920.2;AT2G27920.3;AT2G27920.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3589,0,0,4947.6,0,0,0,0,0,0,0,4871.7,0,0,0,0,0,0,0,0
AT2G28000.1,1353.3,428.82,38145,1508.3,12632,33705,3661000,671410,23877,14920,3972.7,6005.4,846.24,7568.5,650.93,2964.4,12106,4554.5,2398.6,2942.6,1497.5,13841,11038,10792,1644.3,0,0,1841.2,6398.2,2731.2,0,2647.2,1083.7,1270.8,8779.4,0,0,7429.6
AT2G28100.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1660.3,0,6472.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G28470.2;AT2G28470.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11013,20680,14452,0,3919.8,0,1002.1,0,0,0,0,0,0,0,0
AT2G28605.1,0,0,0,0,0,0,0,3664.4,0,0,0,0,0,0,0,0,0,0,0,1487.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7560.3,486.08,1030.4,0
AT2G28720.1;AT3G09480.1;AT5G02570.1;AT2G37470.1;AT5G22880.1;AT3G46030.1;AT1G07790.1;AT5G59910.1;AT3G45980.1,0,0,51405,0,0,0,33.411,0,0,14.319,28.638,0,0,0,33.411,84.764,0,0,23.865,0,0,0,0,0,0,0,0,102.62,0,10426,21798,17712,27412,0,0,0,0,33.411
AT2G28900.1,0,0,11682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G29290.2;AT2G29290.1;AT2G29370.1,198.36,0,5985.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3752.6,0,9518,0,13062,0,0,0,0,0,0,0,0,0,1269.6,0,0,0,0
AT2G29300.1;AT2G29320.1;AT2G29300.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6492.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G29340.2;AT2G29340.1;AT2G29340.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3511.8,0,18422,0,2803.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G29360.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11670,0,0,0,0,1109,0,0,0,0,0,0,0,0,0,0
AT2G29450.1;AT2G29440.1,0,439.47,0,0,212.94,157.53,0,0,1464.5,0,0,5761.2,358.03,3840.9,0,0,0,0,0,0,0,0,0,17975,48529,131360,24885,52531,21650,8756.5,0,0,0,0,0,0,0,0
AT2G29550.1,0,0,133660,798.91,0,0,18179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2356,0,0,0,1597.8,0,0,0,0
AT2G29630.3;AT2G29630.2;AT2G29630.1,0,0,2265.4,0,230.12,0,0,1854.3,615.48,642.62,0,0,0,0,0,0,0,7406.2,0,3416.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G29960.2;AT2G29960.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15318,16692
AT2G30060.1,0,411.48,0,72.953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20320,36115,9732.4,0,12091,0,0,0,0,0,0,0,0,0,0
AT2G30110.1,276.75,0,0,668.54,300.89,0,0,0,0,0,0,0,0,8865.8,0,0,11689,23970,131930,61079,622.64,0,0,6637.2,0,0,0,0,0,0,0,0,0,0,4600.3,0,0,1196.2
AT2G30140.2;AT2G30140.1,0,0,0,0,0,0,49.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4453.1,0,0,0,0,0,0,0,0,0,0
AT2G30170.1;AT2G30170.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2856.9,0,0,0,0,0,0,0,0
AT2G30200.1;AT2G30200.2,0,0,0,0,0,0,0,73.511,0,0,0,0,26.595,310.14,0,0,0,0,0,0,28.295,0,0,0,0,0,0,11489,98618,267410,76324,37787,9833.8,7313.9,0,0,0,18.863
AT2G30410.2;AT2G30410.1,0,0,0,0,0,0,28.844,0,0,0,0,0,0,0,0,0,0,0,594.5,0,36.055,0,0,0,0,0,0,0,0,0,3521.1,1967.6,18024,2370.2,0,0,0,0
AT2G30695.2;AT2G30695.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13592,0,0,0,0,0,0,0
AT2G30860.1;AT2G30860.2,0,548.06,6350.1,72.43,0,0,58.075,0,0,0,0,0,51.381,5779.4,124.89,63.956,1597.1,86.434,2650.1,828.44,27.741,4472.9,0,2831.3,7979.3,28585,120720,555810,570020,881480,473760,151050,65915,17575,18514,13147,0,0
AT2G30870.1,30.992,92.058,52.401,0,0,0,0,0,22.137,0,0,22.137,0,3124.9,0,0,0,429.16,0,165.45,0,0,0,0,2507.9,6254.1,37415,102550,74964,72591,6776,6386,0,1413.9,0,645.73,1290,0
AT2G30970.2;AT2G30970.1,0,0,3375.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6224.7,16689,2528.6,0,0,0,0,0,77301,0,0,0,15.781,0,0,0
AT2G31170.1;AT2G31170.2,0,0,0,0,0,0,0,24.227,0,0,0,0,0,2417.3,62.991,0,1171.3,0,0,0,0,0,669.41,901.26,2415.7,1188.1,0,0,0,0,0,0,0,0,0,0,0,0
AT2G31390.1;AT1G06020.1;AT3G59480.1;AT1G06030.1;AT1G50390.1,35.99,0,0,0,29.073,0,33.918,0,0,24.227,0,0,0,0,0,24.227,1562.3,0,0,0,0,0,9964,31159,9477.6,0,0,0,5885.6,0,0,0,0,0,0,0,0,0
AT2G31570.1,0,0,31.563,0,0,0,74.751,0,0,0,0,18.494,0,0,0,0,0,0,0,0,0,0,2017.4,0,0,0,0,0,0,3452.1,6693.7,12055,11818,18369,6703,2250.5,0,0
AT2G31670.1,357.03,0,0,0,259.65,154.45,0,1348.4,0,0,0,8832.9,33.357,425.59,38.384,0,237.69,0,3677.7,0,0,0,0,0,0,2041,0,0,5735.6,73904,99599,86097,31458,14869,17546,0,0,0
AT2G31790.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G31810.3;AT2G31810.1;AT2G31810.2,0,0,70030,0,0,0,6719.4,0,0,2397.5,0,0,0,0,0,0,8424.1,0,6310,312.34,0,0,0,0,0,0,0,0,0,0,0,0,20743,0,0,0,0,0
AT2G32090.2;AT2G32090.1,0,0,0,0,0,0,3212.2,0,0,0,0,0,0,0,0,0,2122.4,0,0,0,0,0,0,0,0,0,0,0,0,10418,0,5863,9770.5,0,0,0,0,0
AT2G32240.1,0,0,63047,0,0,0,0,0,2095.6,1462.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2602.8,0,0,0,0,4884.6,0,0,0,49149,0,0,0,0,0
AT2G32520.1,0,0,0,0,41.901,0,27.329,0,0,0,0,0,0,0,0,0,0,31.884,0,0,0,0,2675.3,0,0,0,0,0,0,0,0,22163,26437,0,0,0,0,0
AT2G32730.1,0,0,24038,1848.2,563.17,365.72,33317,0,0,0,2456.9,0,0,0,0,1287.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G33150.1,771.24,2559.6,645470,0,0,0,9230.6,3562.1,0,15867,0,0,0,4194.5,0,0,0,0,0,9043.6,0,24970,10903,16678,0,7297.3,2314.9,0,0,0,3125.5,0,1178,1636.9,0,0,0,3168.6
AT2G33210.2;AT2G33210.1,0,1701.7,7614.2,152.55,0,0,45456,7410.7,0,2031.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G33255.1,0,0,0,0,0,0,0,0,0,0,0,82.378,271.35,0,0,19.092,0,0,0,0,0,0,0,0,0,0,0,0,0,11575,35602,75816,22678,6792.1,0,0,0,0
AT2G33410.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1825.4,0,0,4511.1,0,0,0,0,0,6984.9,0,6010.1,0,0,0,5298.8,14877,0,15330
AT2G33450.1,0,0,16636,1222.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G33590.1;AT2G33600.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4035.2,0,4747.7,17161,1911.9,10876,0,0,0,0,0,0
AT2G33800.1,0,0,337890,3005.7,1549.1,0,129470,35925,10448,0,8660.1,0,277.5,0,219.53,1139.6,0,425.19,0,1910.4,0,0,0,0,8286.6,0,0,2010.7,0,0,0,1158.4,1043.1,0,0,1166.5,0,0
AT2G33845.1,0,0,0,0,0,0,0,0,0,1183.9,0,0,29.377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5133,0,0,677.13,0,4481.3,3924.7,0,1417.7,0
AT2G34480.1;AT1G29965.1;AT1G29970.2,0,0,158500,2282.1,343.43,0,1473,2399.7,0,0,2196.2,0,108.46,2294.3,0,0,0,694.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7946.6,0,0,1646.3
AT2G34590.1;AT1G30120.1,0,0,162160,0,0,0,0,0,0,0,2487.2,0,0,0,0,0,3570.4,0,0,0,309.72,0,0,0,0,0,0,0,0,2040.7,0,0,0,0,0,2208.3,0,0
AT2G35010.2;AT2G35010.1,0,0,0,0,0,0,74.786,0,0,38.079,0,0,0,0,0,0,0,0,0,0,0,0,1634.4,0,0,0,0,0,1050.3,0,0,0,0,0,3744.3,7443.4,34913,20478
AT2G35040.2;AT2G35040.1,0,0,0,0,0,0,0,0,0,0,0,0,259.41,2816.4,0,0,2681.1,0,21463,31920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G35370.1,61.796,56.178,0,0,0,0,0,0,0,13844,0,2719.1,180.79,11138,22.914,0,33.707,1046.5,1828,0,0,0,7685.7,6465.2,0,1942.3,6285.7,5867.4,1435.9,87432,190180,240680,641480,534200,153930,17811,71464,3167
