"ProtID","BIC1","BIC2","BIC3","BIC4","NumPeakLowBIC","NumPeakDelLowIntensity","Start1","Start2","Start3","Start3","Frac1","Frac2","Frac3","Frac4","Height1","Height2","Height3","Height4","Width1","Width2","Width3","Width4","Area1","Area2","Area3","Area4"
"AT1G12900.4;AT1G12900.3;AT1G12900.1", 1039,993.8,1146,1129, 2,2, 3,7,,, 3,7.25,,, 2.2791e+06,1.0402e+06,,, 0.71,0.71005,,, 2.8681e+06,1.3091e+06,,
"AT1G13060.1;AT1G13060.2", 617.5,,,, 1,1, 7,,,, 7.23,,,, 20662,,,, 0.78504,,,, 28750,,,
"AT1G13270.1;AT1G13270.2", 582.6,,,, 1,1, 31,,,, 30.8,,,, 17381,,,, 0.80291,,,, 24735,,,
"AT1G13440.1;AT1G13440.2", 1007,1006,1171,1181, 2,1, 3,7,,, 3,,,, 3.3514e+06,,,, 0.71,,,, 4.2175e+06,,,
"AT1G13930.3;AT1G13930.2;AT1G13930.1", 799.5,816.5,821.3,831.7, 1,1, 26,,,, 26,,,, 1.0793e+05,,,, 2.3146,,,, 4.4279e+05,,,
"AT1G14310.1", 730,668.2,,, 2,2, 24,31,,, 24,31.8,,, 17357,14022,,, 0.71,1.404,,, 21843,34895,,
"AT1G14320.1;AT1G14320.2;AT1G26910.1", 575.4,,,, 1,1, 3,,,, 3,,,, 2619.2,,,, 0.71004,,,, 3296.3,,,
"AT1G14400.2;AT1G14400.1", 627.7,,,, 1,1, 36,,,, 36.4,,,, 6155.1,,,, 1.0269,,,, 11180,,,
"AT1G14410.1", 669.1,,,, 1,1, 3,,,, 2.99,,,, 43449,,,, 0.71,,,, 54678,,,
"AT1G14610.1", 698,702.5,,, 1,1, 3,,,, 3,,,, 50435,,,, 0.71,,,, 63470,,,
"AT1G14810.1", 827.9,799.7,932.7,915.2, 2,1, 3,30,,, 3,,,, 1.3473e+05,,,, 0.71,,,, 1.6955e+05,,,
"AT1G14980.1", 709.6,,,, 1,1, 37,,,, 35.7,,,, 13436,,,, 2.3342,,,, 53036,,,
"AT1G15000.1", 552.6,,,, 1,1, 23,,,, 22.6,,,, 8964.9,,,, 0.94508,,,, 15017,,,
"AT1G15140.1;AT1G15140.3;AT1G15140.2", 805.4,788.5,798.4,809.1, 2,1, 3,30,,, 30.5,,,, 3.1316e+05,,,, 1.3816,,,, 7.6686e+05,,,
"AT1G15270.1", 636.2,,,, 1,1, 37,,,, 37.3,,,, 31077,,,, 0.90305,,,, 48094,,,
"AT1G15340.1;AT1G15340.2", 759.5,749.9,754.9,761.7, 2,2, 3,37,,, 3,37.3,,, 17317,77990,,, 0.71,0.98967,,, 21792,1.313e+05,,
"AT1G15930.2;AT1G15930.1", 710.6,710.7,,, 1,1, 3,,,, 3,,,, 27394,,,, 0.71,,,, 34474,,,
"AT1G15950.2;AT1G15950.1", 657.3,655.5,651.4,662.1, 3,3, 22,28,36,, 22,27.7,36,, 3494.2,9233.7,3784.4,, 0.71,1.1798,0.71,, 4397.2,19308,4762.4,
"AT1G16080.1", 841.8,850.8,862.9,872.1, 1,1, 30,,,, 29.8,,,, 6.7356e+05,,,, 1.6448,,,, 1.9636e+06,,,
"AT1G16350.1;AT1G79470.1", 702.1,710.4,,, 1,1, 14,,,, 14.9,,,, 6773,,,, 2.4488,,,, 29398,,,
"AT1G16720.1", 760.7,759,766.2,775.9, 2,1, 3,17,,, 3,,,, 1.1015e+05,,,, 0.71,,,, 1.3862e+05,,,
"AT1G16880.1;AT1G16880.2", 918.7,924.2,932.2,941.7, 1,1, 28,,,, 29,,,, 5.5764e+05,,,, 2.0298,,,, 2.0062e+06,,,
"AT1G16890.2;AT1G16890.1;AT1G16890.3", 551.5,,,, 1,1, 33,,,, 33.9,,,, 4655.8,,,, 1.5462,,,, 12760,,,
"AT1G17100.1", 764.2,763.9,774.1,785, 2,1, 27,34,,, 34.1,,,, 1.2785e+05,,,, 2.3355,,,, 5.2702e+05,,,
"AT1G17160.2;AT1G17160.1", 613.8,514.8,,, 2,1, 8,23,,, 23.3,,,, 32569,,,, 0.71,,,, 40987,,,
"AT1G17220.1", 665.8,647.2,622.1,677.9, 3,3, 3,22,30,, 2.98,22.3,27.3,, 5911.5,8964.1,1942.5,, 0.71,0.71,4.1941,, 7439.3,11281,14439,
"AT1G17290.1", 846.4,847.6,873.9,881.5, 1,1, 20,,,, 20.7,,,, 53861,,,, 2.0057,,,, 1.9148e+05,,,
"AT1G17650.1", 788.2,797.3,807.4,815.9, 1,1, 22,,,, 22.8,,,, 27130,,,, 3.3486,,,, 1.6102e+05,,,
"AT1G17860.1", 741.2,709.1,712.2,721.8, 2,2, 9,38,,, 8.71,38,,, 19798,64556,,, 0.71,0.71,,, 24915,68271,,
"AT1G17890.3;AT1G17890.2;AT1G17890.1", 531.8,,,, 1,1, 29,,,, 29,,,, 11219,,,, 1.0008,,,, 19900,,,
"AT1G18080.1;AT3G18130.1;AT1G48630.1", 774.5,772.6,730.1,, 3,3, 3,7,31,, 3.01,7.01,31.2,, 51910,26354,11375,, 0.71024,0.74441,0.87977,, 65348,34772,17737,
"AT1G18210.2;AT1G18210.1", 670.2,672.7,,, 1,1, 30,,,, 30.3,,,, 33239,,,, 0.83903,,,, 49431,,,
"AT1G18540.1", 718.9,726.3,,, 1,1, 3,,,, 3.01,,,, 85285,,,, 0.71,,,, 1.0733e+05,,,
"AT1G18640.2", 568.4,,,, 1,1, 31,,,, 31.1,,,, 26867,,,, 0.71,,,, 33811,,,
"AT1G19130.1", 698.4,709,,, 1,1, 30,,,, 29.1,,,, 25071,,,, 1.566,,,, 69590,,,
"AT1G19570.1;AT1G19570.2;AT1G19550.1", 853.6,861.3,871.5,882.2, 1,1, 32,,,, 32.3,,,, 3.4836e+05,,,, 1.9446,,,, 1.2007e+06,,,
"AT1G19730.1", 649.3,577.1,587.4,, 2,2, 3,37,,, 3,36.9,,, 6129,19880,,, 0.71,0.71,,, 7712.9,25001,,
"AT1G19920.1", 674,682.4,726.9,727.7, 1,1, 22,,,, 21.1,,,, 8529,,,, 2.4974,,,, 37753,,,
"AT1G20010.1", 863.6,867.8,1024,1014, 1,1, 3,,,, 3,,,, 4.7922e+05,,,, 0.71,,,, 6.0308e+05,,,
"AT1G20020.1;AT1G20020.2;AT1G20020.3", 895.2,933.1,918.5,927.8, 1,1, 28,,,, 28,,,, 5.3284e+05,,,, 0.77114,,,, 7.2829e+05,,,
"AT1G20200.1", 715.4,818.1,,, 1,1, 3,,,, 3.01,,,, 75743,,,, 0.71,,,, 95318,,,
"AT1G20340.1", 790.2,,,, 1,1, 35,,,, 35.2,,,, 2.5873e+05,,,, 1.4546,,,, 6.6662e+05,,,
"AT1G20440.1", 538.2,,,, 1,1, 16,,,, 16.4,,,, 7070,,,, 0.95912,,,, 12019,,,
"AT1G20620.1;AT1G20620.5;AT1G20620.2;AT1G20620.4", 977.7,978.6,989.5,999.9, 1,1, 19,,,, 18.5,,,, 1.0257e+06,,,, 1.7594,,,, 3.1984e+06,,,
"AT1G20630.1", 734.1,693.9,688.5,, 3,2, 12,19,25,, 12,18.7,,, 16528,41347,,, 0.71,1.2017,,, 20800,88070,,
"AT1G20950.1", 686.8,686.8,688.4,, 2,2, 20,27,,, 20,26.8,,, 9616.9,5921,,, 0.71293,0.71,,, 12152,7451.2,,
"AT1G21350.2;AT1G21350.3;AT1G21350.1", 710.4,876.3,780.1,789.9, 1,1, 34,,,, 34.5,,,, 78316,,,, 1.6508,,,, 2.2908e+05,,,
"AT1G21440.1", 721.6,689.3,669.2,, 3,3, 8,17,26,, 8,17,25.6,, 13525,7133.9,30846,, 0.71,0.71,1.0016,, 17021,8977.6,54763,
"AT1G21670.1", 720,730.7,741.6,752.5, 1,1, 26,,,, 25.9,,,, 62128,,,, 1.0239,,,, 1.1275e+05,,,
"AT1G21680.1", 701.9,708.6,716.1,, 1,1, 24,,,, 23.8,,,, 43802,,,, 1.6008,,,, 1.2428e+05,,,
"AT1G21720.1", 684.3,,,, 1,1, 7,,,, 7.04,,,, 69881,,,, 0.71,,,, 87941,,,
"AT1G21750.1;AT1G21750.2", 753.8,764.6,775.4,788, 1,1, 22,,,, 21.6,,,, 20605,,,, 2.1545,,,, 78688,,,
"AT1G21770.1", 671.1,673.9,,, 1,1, 37,,,, 36.8,,,, 23868,,,, 1.0066,,,, 42188,,,
"AT1G22300.1;AT1G22300.2;AT1G22300.3;AT1G22290.1;AT1G22290.2", 809.7,820.1,830.8,834.8, 1,1, 22,,,, 21.3,,,, 41071,,,, 2.5064,,,, 1.8246e+05,,,
"AT1G23130.1", 693.2,697.2,708.1,, 1,1, 35,,,, 35,,,, 52683,,,, 1.9389,,,, 1.8005e+05,,,
"AT1G23190.1", 759.3,769.4,779.8,790.5, 1,1, 26,,,, 25.6,,,, 1.1926e+05,,,, 1.7417,,,, 3.6817e+05,,,
"AT1G23310.1;AT1G23310.2", 1015,1025,1036,1047, 1,1, 22,,,, 23,,,, 1.7098e+06,,,, 1.8353,,,, 5.5619e+06,,,
"AT1G23440.1", 495.2,,,, 1,1, 34,,,, 33.8,,,, 1901.5,,,, 0.71,,,, 2392.9,,,
"AT1G23740.1", 945.4,949.4,960.3,971.2, 1,1, 29,,,, 29.8,,,, 1.1804e+06,,,, 2.139,,,, 4.4752e+06,,,
"AT1G23820.1;AT1G23820.2", 742.9,770.3,,, 1,1, 19,,,, 19.4,,,, 53394,,,, 0.94071,,,, 89027,,,
"AT1G24020.2;AT1G24020.1", 827.6,838.3,849,859.9, 1,1, 31,,,, 31.5,,,, 1.5084e+05,,,, 1.787,,,, 4.7775e+05,,,
"AT1G24360.1", 848.2,857.9,869.1,996.3, 1,1, 3,,,, 3,,,, 4.7007e+05,,,, 0.71,,,, 5.9156e+05,,,
"AT1G25490.1", 636.5,620.6,,, 2,2, 3,17,,, 3.03,17,,, 6798.6,3915.4,,, 0.71,0.71,,, 8555.7,4927.3,,
"AT1G26160.1", 681.7,692.5,698.9,, 1,1, 26,,,, 25.1,,,, 9889.1,,,, 2.7326,,,, 47897,,,
"AT1G26630.1;AT1G26630.2;AT1G69410.1;AT1G13950.1", 676.6,679.5,699,, 1,1, 30,,,, 30.4,,,, 14868,,,, 1.0772,,,, 28387,,,
"AT1G27130.1", 702.8,,,, 1,1, 23,,,, 27.4,,,, 13386,,,, 0.80946,,,, 19205,,,
"AT1G27450.2;AT1G27450.1;AT1G27450.3", 809.3,819.7,830.3,841, 1,1, 28,,,, 28.3,,,, 1.2023e+05,,,, 1.6595,,,, 3.5364e+05,,,
"AT1G27950.1", 656.7,621.5,,, 2,2, 24,30,,, 24,29.8,,, 6007.9,6290.4,,, 0.71,0.79956,,, 7560.6,8914.7,,
"AT1G27970.1;AT1G27970.2", 725.3,735.4,746.3,757.2, 1,1, 32,,,, 32.4,,,, 42881,,,, 1.9424,,,, 1.4763e+05,,,
"AT1G29150.1", 731.8,721.7,,, 2,2, 3,12,,, 3,12,,, 44297,12316,,, 0.71,0.71025,,, 55745,15504,,
"AT1G29260.1", 494.9,478.3,461.6,, 3,1, 10,25,31,, 31.2,,,, 11450,,,, 0.82653,,,, 16774,,,
"AT1G29660.1", 776.6,764.6,763.6,772, 3,1, 3,25,32,, 32.6,,,, 1.8297e+05,,,, 1.6084,,,, 5.2162e+05,,,
"AT1G29670.1", 791.5,773.7,773.8,777.9, 2,1, 24,38,,, 38,,,, 2.3098e+05,,,, 1.4391,,,, 4.0559e+05,,,
"AT1G29880.1;AT3G44740.1", 791,774.1,802.3,799.5, 2,2, 3,16,,, 2.99,16,,, 30244,53246,,, 0.71,0.71,,, 38061,67007,,
"AT1G29900.1", 826.4,829.4,840.2,851.2, 1,1, 17,,,, 17.2,,,, 1.7254e+05,,,, 1.0124,,,, 3.096e+05,,,
"AT1G30230.1;AT1G30230.2", 804.7,798.6,848.8,845, 2,1, 7,27,,, 7.31,,,, 2.9281e+05,,,, 0.71,,,, 3.6849e+05,,,
"AT1G30530.1", 565,494.8,,, 2,1, 2,27,,, 26.5,,,, 10726,,,, 0.84568,,,, 16077,,,
"AT1G30580.1", 785.7,796.4,807.2,818.1, 1,1, 26,,,, 26.7,,,, 68538,,,, 1.7778,,,, 2.1597e+05,,,
"AT1G30630.1", 688,,,, 1,1, 4,,,, 4.4,,,, 39219,,,, 0.97477,,,, 67760,,,
"AT1G31160.1", 654,661.9,,, 1,1, 30,,,, 30.6,,,, 20383,,,, 1.642,,,, 59321,,,
"AT1G31180.1", 759.5,763.4,773.2,783.8, 1,1, 24,,,, 23.6,,,, 1.1693e+05,,,, 1.5552,,,, 3.2232e+05,,,
"AT1G31190.1", 794,804.7,815.6,, 1,1, 26,,,, 25.3,,,, 48076,,,, 1.698,,,, 1.4469e+05,,,
"AT1G31230.1", 705.7,631.9,,, 2,2, 17,23,,, 17,23,,, 12958,13199,,, 0.71,0.71,,, 16306,16610,,
"AT1G31690.1", 647.3,,,, 1,1, 3,,,, 3,,,, 11298,,,, 0.71003,,,, 14219,,,
"AT1G31812.1", 752.8,749.9,764.6,765.8, 2,1, 26,37,,, 36.9,,,, 4.3726e+05,,,, 0.83677,,,, 6.4607e+05,,,
"AT1G32200.2;AT1G32200.1", 734.6,,,, 1,1, 26,,,, 25.9,,,, 47393,,,, 0.71,,,, 59641,,,
"AT1G32470.1", 830.8,853.1,873.2,886.6, 1,1, 33,,,, 33.5,,,, 1.3925e+05,,,, 1.895,,,, 4.6765e+05,,,
"AT1G32990.1", 781.5,792.3,,, 1,1, 3,,,, 3.01,,,, 2.0379e+05,,,, 0.71,,,, 2.5646e+05,,,
"AT1G33140.1;AT1G33120.1;AT4G10450.1", 905.1,916.2,926.5,937.4, 1,1, 3,,,, 3.01,,,, 1.0164e+06,,,, 0.71,,,, 1.279e+06,,,
"AT1G33590.1", 885.6,895.4,1057,1042, 1,1, 3,,,, 3.01,,,, 7.6371e+05,,,, 0.71,,,, 9.6108e+05,,,
"AT1G34430.1", 842.5,852,862.9,, 1,1, 3,,,, 3,,,, 4.1435e+05,,,, 0.71,,,, 5.2143e+05,,,
"AT1G35160.1;AT1G35160.2", 709.9,,,, 1,1, 20,,,, 19.8,,,, 34190,,,, 0.73449,,,, 44510,,,
"AT1G35420.1;AT1G35420.2", 659.9,664.5,,, 1,1, 28,,,, 28.3,,,, 20068,,,, 1.3754,,,, 48921,,,
"AT1G35680.1", 823.2,831.2,,, 1,1, 3,,,, 3.01,,,, 3.2451e+05,,,, 0.71,,,, 4.0838e+05,,,
